01FE 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 
0FF1 0002 6090 0008 1A06 0000 0001 0002 0101 0510 0032 0000 0000 3AA3 0000 900E 900E 0002 0003 8000 0005 0006 0007 0000 0009 4222 000B 000C 000D 3472 000F 0000 0446 0C10 8886 7FFF 7FFF 7FFF 7FFF 7FFF 7FFF 0000 0000 0000 00D5 3322 001F 030E 0306 0001 0000 0000 0000 0002 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE EBDA 
0FF1 0002 6090 0009 1A0A 0000 0001 0002 0101 0511 0032 0001 0000 3AA3 0000 900E 900E 0002 0003 8000 0005 0006 0007 0000 0009 4222 000B 000C 000D 3472 000F 0000 044A 0C10 8886 7FFF 7FFF 7FFF 7FFF 7FFF 7FFF 0000 0000 0000 00D5 3322 001F 030E 0306 0001 0000 0000 0000 0002 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE 2EB8 
0FF1 0002 6090 000A 1A3E 0000 0001 0002 0101 0510 0030 0002 0000 3AA3 0000 800E 800E 0002 0003 006A 0005 0006 0007 0000 0009 4222 000B 000C 000D 3472 000F 0000 047E 8C10 8886 7FFF 7FFF 7FFF 7FFF 7FFF 7FFF 0000 0000 0000 00D5 3322 001F 0000 0253 0001 0000 0000 0000 0002 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE 21A6 
0FF1 0002 6090 000B 1A47 0000 0001 0002 0101 0511 0031 0003 0000 3AA3 0000 800E 800E 0002 0003 006A 0005 0006 0007 0000 0009 4222 000B 000C 000D 3472 000F 0000 0487 8C10 8886 7FFF 7FFF 7FFF 7FFF 7FFF 7FFF 0000 0000 0000 00D5 3322 001F 0000 0253 0001 0000 0000 0000 0202 0101 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE BF19 
0FF1 0002 6090 000C 1A4A 0000 0001 0002 0101 0515 0032 0004 0000 3AA3 0000 800E 800E 0002 0003 006A 0005 0006 0007 0000 0009 4222 000B 000C 000D 3472 000F 0000 048A 8C10 8886 7FFF 7FFF 7FFF 7FFF 7FFF 7FFF 0000 0000 0000 00D5 3322 001F 0000 0253 0001 0000 0000 0000 0202 0301 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE 8585 
0FF1 0002 6091 0065 1A4D 0000 0000 7C6E A12C 1CE1 0002 0200 0200 0200 00FC 0200 0200 0200 8B01 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 7286 
0FF1 0002 6091 0066 1A4D 0000 1F00 0000 0000 0000 0000 C0FF 7C6E A12C 1CE1 0102 0200 0200 0200 FEFB 0400 0200 0200 8B01 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3086 1E00 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 23A2 
0FF1 0002 6091 0067 1A4D 0000 3E00 0000 0000 0000 0000 0000 0000 7478 0100 0000 0000 0000 E0FF 7C6E A12C 1CE1 0202 0200 0200 0200 00FC 0200 0200 0200 8901 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 AFC1 
0FF1 0002 6091 0068 1A4D 0000 5D00 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 C0FF 7C6E A12C 1CE1 0302 0200 0200 0200 01FC 0200 0200 0200 8001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 9376 
0FF1 0002 6091 0069 1A4D 0000 7C00 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 C0FF 7C6E A12C 1CE1 0402 0300 0200 0800 F5FB 0700 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 35E1 
